row_id,source,date,test_name,dtype_in,dtype_out,size,num_vcores,num_dies,partition,run_type,category,vcore_mhz,start_cycle,end_cycle,total_cycles,kernel_prolog_marker,warmup_cycles,meas_vs_warmup_ratio,file_path,parsed_at
7a21a8ffdf25706e,pldm,2026-06-08,rsqrt_fp32_fp32,fp32,fp32,1024,1,1,1,unknown,elementwise,1200,862,4055,3194,923,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_rsqrt_fp32_fp32_1024_num_vcores_1_partition_1.vcd,2026-06-08T05:39:14+00:00
357438fb317b15fc,pldm,2026-06-08,rsqrt_fp32_fp32,fp32,fp32,1024,32,1,1,unknown,elementwise,1200,590,4283,3693,653,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_rsqrt_fp32_fp32_1024_num_vcores_32_partition_1.vcd,2026-06-08T05:39:14+00:00
19b93a598f7f91dd,pldm,2026-06-08,silu_bf16_bf16,bf16,bf16,1024,1,1,1,unknown,elementwise,1200,641,8833,8192,702,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_silu_bf16_bf16_1024_num_vcores_1_partition_1.vcd,2026-06-08T05:39:14+00:00
e4957274e32fcbd4,pldm,2026-06-08,silu_bf16_bf16,bf16,bf16,1024,32,1,1,unknown,elementwise,1200,820,9096,8276,885,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_silu_bf16_bf16_1024_num_vcores_32_partition_1.vcd,2026-06-08T05:39:14+00:00
71aa6dd832091265,pldm,2026-06-08,softmax_fp32_fp32,fp32,fp32,32,1,1,1,unknown,normalization,1200,1358,2402,1044,1423,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_softmax_fp32_fp32_32_num_vcores_1_partition_1.vcd,2026-06-08T05:39:14+00:00
4c52c8b3003f1348,pldm,2026-06-08,softmax_fp32_fp32,fp32,fp32,32,32,1,1,unknown,normalization,1200,1543,4924,3381,1612,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_softmax_fp32_fp32_32_num_vcores_32_partition_1.vcd,2026-06-08T05:39:14+00:00
197079cae7222fe7,pldm,2026-06-08,sub_bf16_bf16,bf16,bf16,1024,1,1,1,unknown,elementwise,1200,615,1608,993,678,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_sub_bf16_bf16_1024_num_vcores_1_partition_1.vcd,2026-06-08T05:39:14+00:00
2a63834e3aa77c88,pldm,2026-06-08,sub_bf16_bf16,bf16,bf16,1024,32,1,1,unknown,elementwise,1200,728,1814,1087,790,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_sub_bf16_bf16_1024_num_vcores_32_partition_1.vcd,2026-06-08T05:39:14+00:00
a117dc1cb9ae5ce0,pldm,2026-06-08,transpose_bf16_bf16,bf16,bf16,32,1,1,1,unknown,elementwise,1200,477,1146,669,536,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_transpose_bf16_bf16_32_num_vcores_1_partition_1.vcd,2026-06-08T05:39:14+00:00
658eee674f017046,pldm,2026-06-08,transpose_bf16_bf16,bf16,bf16,32,32,1,1,unknown,elementwise,1200,722,1396,674,781,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_transpose_bf16_bf16_32_num_vcores_32_partition_1.vcd,2026-06-08T05:39:14+00:00
fc281a8eb33b320f,pldm,2026-06-08,vme_16tile_bf16,,bf16,1,,1,,unknown,vme,1200,931,9453,8522,968,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_vme_16tile_bf16_1.vcd,2026-06-08T05:40:24+00:00
db7751d6e86e6e03,pldm,2026-06-08,vme_1tile_bf16,,bf16,1,,1,,unknown,vme,1200,852,1913,1061,900,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_vme_1tile_bf16_1.vcd,2026-06-08T05:40:24+00:00
c41b18b4c9152b94,pldm,2026-06-08,vme_1tile_cd8192_bf16,,bf16,1,,1,,unknown,vme,1200,722,2080,1358,773,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_vme_1tile_cd8192_bf16_1.vcd,2026-06-08T05:40:24+00:00
ecbb6327646906ec,pldm,2026-06-08,vme_32tile_2vxm_bf16,,bf16,1,,1,,unknown,vme,1200,845,12488,11643,896,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_vme_32tile_2vxm_bf16_1.vcd,2026-06-08T05:40:24+00:00
a96b249c94c1a285,pldm,2026-06-08,vme_32tile_2vxm_chained_bf16,,bf16,1,,1,,unknown,vme,1200,892,5139,4247,945,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_vme_32tile_2vxm_chained_bf16_1.vcd,2026-06-08T05:40:24+00:00
e34ebd92d11412ed,pldm,2026-06-08,vme_32tile_bf16,,bf16,1,,1,,unknown,vme,1200,656,12099,11443,691,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_vme_32tile_bf16_1.vcd,2026-06-08T05:40:24+00:00
afc1b72949c1d9f9,pldm,2026-06-08,vme_32tile_chained_bf16,,bf16,1,,1,,unknown,vme,1200,938,3680,2741,990,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_vme_32tile_chained_bf16_1.vcd,2026-06-08T05:40:24+00:00
439d1c39e6ccb291,pldm,2026-06-08,vme_32tile_polled_bf16,,bf16,1,,1,,unknown,vme,1200,618,12062,11444,668,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_vme_32tile_polled_bf16_1.vcd,2026-06-08T05:40:24+00:00
c89de79b446817b4,pldm,2026-06-08,vme_4act_bf16,,bf16,1,,1,,unknown,vme,1200,634,2035,1401,684,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_vme_4act_bf16_1.vcd,2026-06-08T05:40:24+00:00
97b3c66eca207a7d,pldm,2026-06-08,vme_4tile_2vxm_bf16,,bf16,1,,1,,unknown,vme,1200,862,3657,2795,897,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_vme_4tile_2vxm_bf16_1.vcd,2026-06-08T05:40:24+00:00
f4247b0659172cca,pldm,2026-06-08,vme_4tile_bf16,,bf16,1,,1,,unknown,vme,1200,659,3184,2525,694,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_vme_4tile_bf16_1.vcd,2026-06-08T05:40:24+00:00
80c0a8c39002362f,pldm,2026-06-08,vme_4tile_cd2048_bf16,,bf16,1,,1,,unknown,vme,1200,739,3568,2829,790,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_vme_4tile_cd2048_bf16_1.vcd,2026-06-08T05:40:24+00:00
bf16e9b699e6346b,pldm,2026-06-08,vme_4tile_cd512_bf16,,bf16,1,,1,,unknown,vme,1200,663,3276,2613,713,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_vme_4tile_cd512_bf16_1.vcd,2026-06-08T05:40:24+00:00
d14c1bac5729006b,pldm,2026-06-08,vme_4tile_cd8192_bf16,,bf16,1,,1,,unknown,vme,1200,770,3827,3058,820,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_vme_4tile_cd8192_bf16_1.vcd,2026-06-08T05:40:24+00:00
